Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,,,User_Score,User_Count
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0,0.1,0.57,,,6.4,107
SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0,0,0.57,0,0.57,,,,
Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0,0.04,0.57,,,7,53
Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,,,6.3,8
The Conduit,Wii,2009,Shooter,Sega,0.28,0.23,0,0.06,0.57,,,8.2,258
Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.2,0.3,0,0.07,0.57,,,tbd,
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0,0.05,0.57,,,6.9,11
Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.14,0,0.05,0.57,,,5.3,13
RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0,0.02,0.57,,,8.3,19
Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57,,,7.7,70
Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.36,0,0.12,0.57,,,7.5,20
Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0,0.04,0.57,,,,
XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0,0.07,0.57,,,8.6,35
Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.22,0,0.13,0.57,,,8.2,28
Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0,0.06,0.57,,,tbd,
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0,0.21,0.03,0.57,,,8.1,122
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,,,8,96
Up,Wii,2009,Action,THQ,0.22,0.28,0,0.06,0.56,,,8,4
Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,,,8.9,45
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,,,8,47
True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0,0.02,0.56,,,7.3,29
Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,,,8.6,59
Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,0.52,0,0,0.04,0.56,,,tbd,
The Incredible Hulk,GBA,2003,Action,Universal Interactive,0.4,0.15,0,0.01,0.56,,,,
Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,Zoo Digital Publishing,0.4,0.15,0,0.01,0.56,,,tbd,
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.56,,,,
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0,0.04,0.56,,,6.2,1727
Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56,,,8.6,14
The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.4,0.15,0,0.01,0.56,,,8.2,11
NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.28,0.22,0,0.07,0.56,,,7.6,8
The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.34,0.17,0,0.05,0.56,,,6.5,19
Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56,,,7.5,6
The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0,0.02,0.56,,,8.9,12
NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56,,,8.6,7
"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0,0.04,0.56,,,6.9,8
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.26,0,0.06,0.56,,,7.8,232
Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0,0.07,0.56,,,tbd,
Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0,0.07,0.56,,,7.6,36
Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,0.4,0.15,0,0.01,0.56,,,,
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0,0.07,0.56,,,8.4,16
LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0,0.05,0.56,,,7.2,31
Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0,0.07,0.56,,,tbd,
Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0,0.04,0.56,,,,
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0,0.07,0.56,,,tbd,
Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0,0.02,0.56,,,8.2,29
Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,,,8.1,39
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56,,,7.6,8
Backyard NFL Football,GBA,2002,Sports,Infogrames,0.4,0.15,0,0.01,0.56,,,,
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.3,0.21,0,0.05,0.56,,,,
Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.51,0.01,0,0.04,0.56,,,tbd,
Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.43,0.11,0,0.02,0.56,,,9.1,22
NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.31,0.21,0,0.04,0.56,,,,
Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0,0.06,0.56,,,5.8,5
WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0,0.02,0.56,,,7.3,25
Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56,,,,
Mega Man X2,SNES,1993,Platform,Laguna,0.09,0.02,0.45,0,0.56,,,,
Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0,0.07,0.56,,,7.8,53
Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,,,8.1,38
Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.07,0,0.07,0.56,,,7.6,14
Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0,0,0.56,0,0.56,,,,
Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56,,,7.3,70
Dogz,DS,2006,Simulation,Ubisoft,0.5,0.01,0,0.04,0.56,,,7.8,9
Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.56,0,0.56,,,,
Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0,0.04,0.56,,,5.4,44
Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,0.27,0.21,0,0.07,0.56,,,6.5,8
Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,0.4,0.15,0,0.01,0.56,,,7,4
Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0,0.06,0.56,,,7.5,128
Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0,0.01,0.56,,,,
Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0,0.02,0.56,,,8,41
ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0,0.07,0.56,,,8.5,25
Fatal Fury Special,SNES,1994,Fighting,Takara,0,0,0.56,0,0.56,,,,
Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0,0.02,0.56,,,8.2,17
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,,,5.8,4
DS Bimoji Training,DS,2008,Misc,Nintendo,0,0,0.56,0,0.56,,,,
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,,,8.5,625
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,,,6.8,1659
Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56,,,6.6,21
TMNT,X360,2007,Action,Ubisoft,0.48,0.03,0,0.05,0.56,,,6.3,32
Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,,,3.4,100
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0.21,0,0.07,0.56,,,6.8,17
FIFA 15,Wii,2014,Sports,Electronic Arts,0.15,0.37,0,0.04,0.56,,,4.3,12
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,,,7.5,80
Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,,,7.8,77
MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,THQ,0.27,0.21,0,0.07,0.56,,,8.3,9
NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0,0.01,0.56,,,6.9,10
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,,,9.1,35
Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,0.25,0.05,0.22,0.03,0.55,,,7.5,13
No More Heroes,Wii,2007,Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,,,8.4,259
NBA Showtime: NBA on NBC,PS,1999,Sports,Midway Games,0.31,0.21,0,0.04,0.55,,,,
God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,,,8.4,208
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.49,0.02,0,0.04,0.55,,,7,5
Soul Reaver 2,PS2,2001,Action,Eidos Interactive,0.27,0.21,0,0.07,0.55,,,8.5,35
Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,,,9.3,439
The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0,0.02,0.55,,,,
Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,,,7.4,312
Daytona USA,SAT,1994,Racing,Sega,0,0,0.55,0,0.55,,,,
WWF Raw,XB,2002,Fighting,THQ,0.4,0.13,0,0.02,0.55,,,6.6,15
Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0,0,0.52,0.04,0.55,,,,
Jump Super Stars,DS,2005,Fighting,Nintendo,0,0,0.55,0,0.55,,,,
Guitar Hero Live,XOne,2015,Misc,Activision,0.3,0.2,0,0.05,0.55,,,5.1,69
The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,,,,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher,0.31,0.21,0,0.04,0.55,,,,
Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0,0.04,0.55,,,,
Sakura Wars,SAT,1996,Adventure,Sega,0,0,0.55,0,0.55,,,,
Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0,0.04,0.55,,,5.3,16
Extermination,PS2,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55,,,7.8,19
Batman: Vengeance,PS2,2001,Adventure,Ubisoft,0.27,0.21,0,0.07,0.55,,,6.7,12
Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0,0.52,0,0.04,0.55,,,,
Derby Stallion 04,PS2,2004,Sports,Enterbrain,0,0,0.55,0,0.55,,,,
Rapala Tournament Fishing!,Wii,2006,Sports,Activision,0.51,0,0,0.04,0.55,,,,
Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55,,,8.1,77
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0,0.02,0.55,,,8.4,17
Mega Man Zero,GBA,2002,Platform,Capcom,0.22,0.08,0.24,0.01,0.55,,,8.9,31
Contender 2,PS,2000,Fighting,3DO,0.31,0.21,0,0.04,0.55,,,tbd,
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55,,,7.7,284
Star Wars: Dark Forces,PS,1996,Shooter,LucasArts,0.31,0.21,0,0.04,0.55,,,,
LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.17,0.3,0,0.09,0.55,,,6.4,18
NBA 2K8,PS3,2007,Sports,Take-Two Interactive,0.5,0.01,0,0.05,0.55,,,6.8,19
Rayman Origins,Wii,2011,Platform,Ubisoft,0.21,0.27,0,0.06,0.55,,,8.3,127
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55,,,,
SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games,0,0,0.51,0.04,0.55,,,,
Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0,0.04,0.55,,,3,1463
MX vs. ATV: Alive,X360,2011,Racing,THQ,0.37,0.13,0,0.04,0.55,,,7.2,24
Super Robot Taisen F,SAT,1997,Strategy,Banpresto,0,0,0.55,0,0.55,,,,
Shrek 2,XB,2004,Platform,Activision,0.4,0.13,0,0.02,0.55,,,8.4,5
Purr Pals,DS,2007,Simulation,THQ,0.18,0.35,0,0.02,0.55,,,6.8,6
Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0,0.09,0.55,,,6.9,1611
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,0,0,0.55,0,0.55,,,,
Secret Agent Clank(US sales),PSP,2008,Platform,Sony Computer Entertainment,0.33,0.22,0,0,0.55,,,,
SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ,0.39,0.15,0,0.01,0.55,,,,
Super Robot Taisen F Kanketsuhen,SAT,1998,Strategy,Banpresto,0,0,0.55,0,0.55,,,,
Tak and the Power of Juju,GBA,2003,Platform,THQ,0.39,0.15,0,0.01,0.55,,,9.2,19
Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.31,0.18,0,0.05,0.55,,,,
Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.34,0,0.06,0.55,,,7.6,7
Mortal Kombat 3,PS,1995,Fighting,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55,,,,
Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.38,0,0.04,0.55,,,,
Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,0.39,0.14,0,0.02,0.55,,,6.7,9
Grease,Wii,2010,Misc,505 Games,0.26,0.24,0,0.05,0.55,,,,
Jak X: Combat Racing,PS2,2005,Racing,Sony Computer Entertainment,0.45,0.02,0,0.07,0.55,,,7.7,63
Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,0.25,0.03,0.24,0.03,0.55,,,,
American Idol,PS2,2003,Misc,Codemasters,0.27,0.21,0,0.07,0.55,,,4.8,12
Top Gun: Fire at Will!,PS,1996,Misc,Microprose,0.3,0.21,0,0.04,0.55,,,,
Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,0.5,0,0,0.04,0.55,,,tbd,
Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,0.4,0.12,0,0.02,0.55,,,8.5,26
CrossworDS,DS,2008,Puzzle,Deep Silver,0.5,0,0,0.04,0.55,,,6.8,6
Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,0.26,0.23,0,0.06,0.55,,,7.1,15
Petz Catz Clan,DS,2008,Simulation,Ubisoft,0.47,0.03,0,0.04,0.54,,,tbd,
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Simulation,Activision,0.4,0.1,0,0.04,0.54,,,tbd,
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.12,0,0.08,0.54,,,8.3,343
Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54,,,5.6,15
SingStar Summer Party,PS2,2008,Misc,Sony Computer Entertainment,0,0.06,0,0.48,0.54,,,,
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,,,8,350
The SpongeBob SquarePants Movie,XB,2004,Platform,THQ,0.4,0.12,0,0.02,0.54,,,8.5,8
NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.17,0,0.09,0.54,,,6,79
F1 2013,PS3,2013,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,,,6.3,40
FIFA Soccer 07,XB,2006,Sports,Electronic Arts,0.16,0.35,0,0.04,0.54,,,,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000,Sports,SquareSoft,0,0,0.54,0,0.54,,,,
Legends of WrestleMania,PS3,2009,Fighting,THQ,0.3,0.16,0,0.07,0.54,,,6.5,19
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ,0.5,0,0,0.04,0.54,,,tbd,
Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,0.49,0.02,0,0.04,0.54,,,7.8,26
Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer,0,0,0.54,0,0.54,,,,
Dance Dance Revolution Ultramix,XB,2003,Simulation,Konami Digital Entertainment,0.42,0.11,0,0.02,0.54,,,8.8,10
Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games,0.27,0.21,0,0.07,0.54,,,7,49
Front Mission 4,PS2,2003,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54,,,8.6,22
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003,Platform,THQ,0.39,0.14,0,0.01,0.54,,,,
Rayman Origins,PSV,2012,Platform,Ubisoft,0.12,0.33,0,0.09,0.54,,,8.4,298
Ninokuni: Shikkoku no Madoushi,DS,2010,Role-Playing,Level 5,0,0,0.54,0,0.54,,,,
F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.26,0,0.1,0.54,,,7.4,64
Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0,0.05,0.54,,,7.8,295
SRS: Street Racing Syndicate,PS2,2004,Racing,Namco Bandai Games,0.26,0.21,0,0.07,0.54,,,,
Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,0.26,0.08,0.13,0.07,0.54,,,8.1,19
Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts,0.24,0.21,0,0.08,0.54,,,5.7,9
Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,0.11,0.04,0.36,0.02,0.54,,,7.5,20
Def Jam: Fight for NY,XB,N/A,Fighting,Electronic Arts,0.43,0.1,0,0.02,0.54,,,8.5,13
Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,,,,
FIFA 99,N64,1998,Sports,Electronic Arts,0.11,0.39,0,0.03,0.54,,,,
Gauntlet Legends,N64,1999,Action,Midway Games,0.43,0.1,0,0.01,0.54,,,,
Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54,,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,2008,Racing,System 3 Arcade Software,0.07,0.4,0,0.07,0.54,,,,
Tony Hawk: Shred,Wii,2010,Sports,Activision,0.39,0.11,0,0.04,0.54,,,7,7
Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,0.23,0.25,0,0.06,0.54,,,8.3,23
NBA Live 10,PS3,2009,Sports,Electronic Arts,0.46,0.02,0.01,0.05,0.54,,,7.5,25
Metro 2033,X360,2010,Shooter,THQ,0.22,0.23,0.03,0.05,0.54,,,7.9,351
Bust A Groove,PS,1998,Misc,Sony Computer Entertainment,0.09,0.06,0.35,0.04,0.54,,,,
Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54,,,8.9,141
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,Role-Playing,Enix Corporation,0,0,0.54,0,0.54,,,,
Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.26,0.04,0.22,0.03,0.54,,,8.6,102
Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54,,,7,87
Pachi-Slot Aruze Oukoku 2,PS,1999,Misc,Aruze Corp,0,0,0.5,0.04,0.54,,,,
Bratz: Rock Angelz,GBA,2004,Misc,THQ,0.39,0.14,0,0.01,0.54,,,,
SSX Tricky,GC,2001,Sports,Electronic Arts,0.42,0.11,0,0.01,0.54,,,8.6,18
Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0,0.02,0.54,,,9.2,42
World Soccer Winning Eleven 7 International (JP version),PS2,2004,Sports,Konami Digital Entertainment,0,0,0.54,0,0.54,,,,
ESPN NBA Basketball,PS2,2003,Sports,Sega,0.26,0.21,0,0.07,0.54,,,8.4,38
Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54,,,5.8,52
Sacred 2: Fallen Angel,X360,2009,Role-Playing,Deep Silver,0.29,0.16,0.04,0.05,0.54,,,7.3,64
Two Worlds II,X360,2011,Role-Playing,Unknown,0.4,0.07,0.03,0.03,0.54,,,6.6,140
Over the Hedge,PS2,2006,Platform,Activision,0.45,0.02,0,0.07,0.54,,,8.6,10
Mat Hoffman's Pro BMX,PS,2001,Sports,Activision,0.3,0.2,0,0.04,0.54,,,8.6,16
Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.31,0.18,0,0.05,0.54,,,tbd,
50 Classic Games,DS,2009,Misc,Destineer,0.5,0,0,0.04,0.54,,,tbd,
Let's Draw!,DS,2008,Misc,Ubisoft,0.24,0.23,0,0.06,0.54,,,,
NHL 14,X360,2013,Sports,Electronic Arts,0.4,0.09,0,0.05,0.54,,,5.9,92
Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54,,,,
Petz Nursery,DS,2009,Simulation,Ubisoft,0.5,0,0,0.04,0.54,,,tbd,
The Hobbit,PS2,2003,Platform,Vivendi Games,0.26,0.2,0,0.07,0.54,,,8.6,14
War of the Monsters,PS2,2003,Fighting,Sony Computer Entertainment,0.26,0.2,0,0.07,0.54,,,8.9,68
Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.27,0,0.05,0.54,,,5,11
NBA Street Vol. 2,GC,N/A,Sports,Electronic Arts,0.41,0.11,0,0.01,0.54,,,8.1,7
The Incredible Hulk: Ultimate Destruction,PS2,2005,Action,Vivendi Games,0.26,0.2,0,0.07,0.54,,,8.7,38
Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,0.18,0.2,0.07,0.08,0.54,,,5.9,15
Summer Sports: Paradise Island,Wii,2008,Sports,Ubisoft,0.48,0.01,0,0.04,0.53,,,4.6,7
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998,Adventure,Sega,0,0,0.53,0,0.53,,,,
Time Crisis II,PS2,2001,Shooter,Namco Bandai Games,0.26,0.2,0,0.07,0.53,,,7.9,20
Inazuma Eleven GO,3DS,2011,Role-Playing,Nintendo,0,0.05,0.48,0,0.53,,,,
Clock Tower,PS,1996,Adventure,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53,,,,
NCAA March Madness 06,PS2,2005,Sports,Electronic Arts,0.45,0.02,0,0.07,0.53,,,9.1,13
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0,0.05,0.53,,,6.5,29
Valkyria Chronicles II,PSP,2010,Role-Playing,Sega,0.12,0.15,0.18,0.09,0.53,,,8.1,67
Jampack Volume 11,PS2,2004,Misc,Sony Computer Entertainment,0.26,0.2,0,0.07,0.53,,,,
Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.42,0.07,0,0.04,0.53,,,tbd,
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.3,0.15,0.03,0.05,0.53,,,8.8,85
Rune Factory: A Fantasy Harvest Moon,DS,2006,Role-Playing,Rising Star Games,0.35,0.01,0.14,0.03,0.53,,,8.1,52
Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive,0.26,0.2,0,0.07,0.53,,,9.3,49
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.38,0.14,0,0.01,0.53,,,,
NCAA March Madness 2005,PS2,2004,Sports,Electronic Arts,0.44,0.02,0,0.07,0.53,,,8.3,13
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,,,4.6,14
Tactics Ogre: Let Us Cling Together,PSP,2010,Role-Playing,Square Enix,0.15,0.07,0.27,0.05,0.53,,,8.8,102
Conflict: Vietnam,PS2,2004,Shooter,SCi,0.26,0.2,0,0.07,0.53,,,8.1,21
Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,,,8.3,288
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,,,,
MLB SlugFest 20-04,PS2,2003,Sports,Midway Games,0.26,0.2,0,0.07,0.53,,,8.3,8
Gex 3: Deep Cover Gecko,PS,1999,Platform,Eidos Interactive,0.3,0.2,0,0.03,0.53,,,,
NASCAR 09,PS2,2008,Racing,Electronic Arts,0.26,0.2,0,0.07,0.53,,,7.9,8
Blitz: The League,XB,2004,Sports,Midway Games,0.4,0.11,0,0.02,0.53,,,7.7,14
Manhunt 2,Wii,2007,Action,Take-Two Interactive,0.25,0.23,0,0.06,0.53,,,7.1,46
Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0,0.05,0.53,,,7.5,20
Jampack Vol. 2,PS,1996,Misc,Sony Computer Entertainment,0.3,0.2,0,0.03,0.53,,,,
The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0,0.05,0.53,,,6.9,49
Virtual Soccer,SNES,1993,Sports,Hudson Soft,0,0,0.53,0,0.53,,,,
Overwatch,PC,2016,Shooter,Activision,0.25,0.24,0,0.04,0.53,,,6.8,4052
Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Strategy,Tecmo Koei,0,0,0.53,0,0.53,,,,
Monster Jam: Path of Destruction,Wii,2010,Racing,Activision,0.48,0.02,0,0.03,0.53,,,tbd,
Winning Post,SNES,1993,Sports,Tecmo Koei,0,0,0.53,0,0.53,,,,
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,Ubisoft,0.34,0.17,0,0.02,0.53,,,8.5,11
Burnout Revenge,XB,2005,Racing,Electronic Arts,0.32,0.19,0,0.01,0.53,,,8.4,66
Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts,0.32,0.19,0,0.02,0.53,,,7,15
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,Electronic Arts,0.26,0.2,0,0.07,0.53,,,8.2,22
